ID,Note,Amount,Category,Account,Currency,Date,Event,Exclude Report
130,Bilet CTP,-3,Transportation,Cash,RON,14/09/2022,No,False
131,Bilet CTP,-3,Transportation,Cash,RON,14/09/2022,No,False
132,Dora,-55.59,Friends & Lover,Cash,RON,14/09/2022,No,False
133,Dentist,-250,Doctor,Cash,RON,14/09/2022,No,False
134,Curea,-110,Clothing,Cash,RON,13/09/2022,No,False
135,Imprumut Bogdan,-15000,Friends & Lover,Cash,RON,13/09/2022,No,False
136,Smaranda - pentru motorina,20,Other Income,Cash,RON,13/09/2022,No,False
137,Mega Image,-24.82,Restaurants,Cash,RON,12/09/2022,No,False
138,Bilet CTP,-3,Transportation,Cash,RON,12/09/2022,No,False
139,Bilet CTP,-3,Transportation,Cash,RON,12/09/2022,No,False
140,Suc,-31.83,Food & Beverage,Cash,RON,11/09/2022,No,False
141,Waffles,-12,Restaurants,Cash,RON,11/09/2022,No,False
142,Profi,-18.38,Restaurants,Cash,RON,11/09/2022,No,False
143,,-441.77,Petrol,Cash,RON,11/09/2022,No,False
144,Ady,-35,Friends & Lover,Cash,RON,11/09/2022,No,False
145,Burger si shawarma,-65,Restaurants,Cash,RON,08/09/2022,No,False
146,"Chipsuri, apa",-15.7,Restaurants,Cash,RON,05/09/2022,No,False
147,,7655,Salary,Cash,RON,05/09/2022,No,False
148,Hotel Briliant,-238,Restaurants,Cash,RON,03/09/2022,No,False
149,Mafia definitive edition,-61.4,Games,Cash,RON,03/09/2022,No,False
150,Mega Image,-21.68,Restaurants,Cash,RON,02/09/2022,No,False
151,Bonuri masa,289,Salary,Cash,RON,02/09/2022,No,False
152,Mega Image,-1.69,Restaurants,Cash,RON,01/09/2022,No,False
153,Fresh box,-28,Restaurants,Cash,RON,01/09/2022,No,False
154,,-75.65,Petrol,Cash,RON,01/09/2022,No,False
155,Mega Image,-23.97,Restaurants,Cash,RON,31/08/2022,No,False
156,Stradale,-32,Restaurants,Cash,RON,31/08/2022,No,False
157,Bere,-35,Food & Beverage,Cash,RON,29/08/2022,No,False
158,Profi,-32.39,Restaurants,Cash,RON,29/08/2022,No,False
159,Apa,-8.98,Food & Beverage,Cash,RON,28/08/2022,No,False
160,,-430.63,Petrol,Cash,RON,28/08/2022,No,False
161,Bubble tea,-38,Food & Beverage,Cash,RON,27/08/2022,No,False
162,,-100.02,Water Bill,Cash,RON,27/08/2022,No,False
163,,-52.29,Internet Bill,Cash,RON,27/08/2022,No,False
164,Costum de mire,-1298,Clothing,Cash,RON,27/08/2022,No,False
165,Mega Image,-15,Restaurants,Cash,RON,26/08/2022,No,False
166,Bere,-7,Food & Beverage,Cash,RON,25/08/2022,No,False
167,McDonald's,-23,Restaurants,Cash,RON,25/08/2022,No,False
168,Fresh box,-22,Restaurants,Cash,RON,25/08/2022,No,False
169,Bere,-201.4,Food & Beverage,Cash,RON,24/08/2022,No,False
170,Tort,-82,Restaurants,Cash,RON,23/08/2022,No,False
171,Mega Image,-47.17,Restaurants,Cash,RON,23/08/2022,No,False
172,Bilet CTP,-3,Transportation,Cash,RON,18/08/2022,No,False
173,Bilet CTP,-3,Transportation,Cash,RON,18/08/2022,No,False
174,Danu si Sorina,-143.71,Friends & Lover,Cash,RON,17/08/2022,No,False
175,Paste,-21,Restaurants,Cash,RON,13/08/2022,No,False
176,,-448.23,Petrol,Cash,RON,13/08/2022,No,False
177,Mega Image,-8.5,Restaurants,Cash,RON,12/08/2022,No,False
178,Fresh box,-28,Restaurants,Cash,RON,11/08/2022,No,False
179,Mega Image,-3.99,Restaurants,Cash,RON,10/08/2022,No,False
180,Ceas cu termometru LED,-79.98,Electronics,Cash,RON,08/08/2022,No,False
181,,7655,Salary,Cash,RON,08/08/2022,No,False
182,Plase insecte,-214,Home Improvement,Cash,RON,04/08/2022,No,False
183,Test antigen covid,-60,Doctor,Cash,RON,03/08/2022,No,False
184,Bonuri masa,306,Salary,Cash,RON,03/08/2022,No,False
185,Dentist,-850,Doctor,Cash,RON,01/08/2022,No,False
186,Cabana,-1000,Other Expense,Cash,RON,31/07/2022,No,False
187,Gin,-64.85,Food & Beverage,Cash,RON,29/07/2022,No,False
188,Energizant,-2.79,Food & Beverage,Cash,RON,29/07/2022,No,False
189,Carrefour,-663.66,Restaurants,Cash,RON,29/07/2022,No,False
190,Mariflor,-262.8,Restaurants,Cash,RON,29/07/2022,No,False
191,,-496.86,Petrol,Cash,RON,29/07/2022,No,False
192,Bile si capsule airsoft,-134.43,Sports,Cash,RON,29/07/2022,No,False
193,Invitatii nuntă,-211.5,Family,Cash,RON,29/07/2022,No,False
194,Bere,-20,Food & Beverage,Cash,RON,28/07/2022,No,False
195,Mega Image,-27.34,Restaurants,Cash,RON,28/07/2022,No,False
196,,-86.86,Water Bill,Cash,RON,28/07/2022,No,False
197,,-52.42,Internet Bill,Cash,RON,28/07/2022,No,False
198,Twelve,-39,Restaurants,Cash,RON,27/07/2022,No,False
199,Apa,-11.33,Food & Beverage,Cash,RON,26/07/2022,No,False
200,Bere si shot-uri,-140,Food & Beverage,Cash,RON,26/07/2022,No,False
201,McDonald's,-40.8,Restaurants,Cash,RON,26/07/2022,No,False
202,"Apa, cafea",-47.95,Food & Beverage,Cash,RON,25/07/2022,No,False
203,Pizza si bere,-110,Restaurants,Cash,RON,25/07/2022,No,False
204,"Chipsuri, banane",-14,Restaurants,Cash,RON,25/07/2022,No,False
205,Mega Image,-6.28,Restaurants,Cash,RON,22/07/2022,No,False
206,Stradale,-32,Restaurants,Cash,RON,22/07/2022,No,False
207,Spalare interior/exterior,-65,Maintenance,Cash,RON,22/07/2022,No,False
208,Silicon,-87.43,Home Improvement,Cash,RON,22/07/2022,No,False
209,McDonald's,-43.2,Restaurants,Cash,RON,21/07/2022,No,False
210,Stradale,-25,Restaurants,Cash,RON,21/07/2022,No,False
211,Mega Image,-1.94,Restaurants,Cash,RON,20/07/2022,No,False
212,Profi,-13.98,Restaurants,Cash,RON,19/07/2022,No,False
213,Mega Image,-26.53,Restaurants,Cash,RON,19/07/2022,No,False
214,Ady,25,Other Income,Cash,RON,19/07/2022,No,False
215,Pepene galben,-10,Restaurants,Cash,RON,18/07/2022,No,False
216,Profi,-55.66,Restaurants,Cash,RON,18/07/2022,No,False
217,Mega Image,-41.83,Restaurants,Cash,RON,18/07/2022,No,False
218,Casti Epos H3Pro Hybrid,-359,Electronics,Cash,RON,18/07/2022,No,False
219,Apa,-2.09,Food & Beverage,Cash,RON,16/07/2022,No,False
220,Cartofi și cârnaț,-15,Restaurants,Cash,RON,16/07/2022,No,False
221,Bilet CTP,-3,Transportation,Cash,RON,16/07/2022,No,False
222,,-29.8,Taxi,Cash,RON,16/07/2022,No,False
223,Mega Image,-20.42,Restaurants,Cash,RON,15/07/2022,No,False
224,Mega Image,-4.39,Restaurants,Cash,RON,15/07/2022,No,False
225,Suc,-5,Food & Beverage,Cash,RON,14/07/2022,No,False
226,,-8,Parking Fees,Cash,RON,14/07/2022,No,False
227,Perdele și draperii,-1256.11,Home Improvement,Cash,RON,14/07/2022,No,False
228,Fresh box,-28,Restaurants,Cash,RON,12/07/2022,No,False
229,Cazare București,-592.67,Travel,Cash,RON,12/07/2022,No,False
230,Mega Image,-4.46,Restaurants,Cash,RON,11/07/2022,No,False
231,Stradale,-14,Restaurants,Cash,RON,11/07/2022,No,False
232,Cora,-579.08,Restaurants,Cash,RON,08/07/2022,No,False
233,,7621,Salary,Cash,RON,08/07/2022,No,False
234,Pablito,-34,Restaurants,Cash,RON,07/07/2022,No,False
235,Mega Image,-21.75,Restaurants,Cash,RON,06/07/2022,No,False
236,Bilet CTP,-3,Transportation,Cash,RON,06/07/2022,No,False
237,Bilet CTP,-3,Transportation,Cash,RON,06/07/2022,No,False
238,Bonuri masa,289,Salary,Cash,RON,05/07/2022,No,False
239,Casti Corsair HS60,-239.98,Electronics,Cash,RON,04/07/2022,No,False
240,Dentist,-1000,Doctor,Cash,RON,04/07/2022,No,False
241,Ela,110,Other Income,Cash,RON,03/07/2022,No,False
242,Profi,-88.52,Restaurants,Cash,RON,02/07/2022,No,False
243,,-45.8,Taxi,Cash,RON,02/07/2022,No,False
244,,-383.98,Petrol,Cash,RON,02/07/2022,No,False
245,Nunta Dragos si Gianina,-1000,Other Expense,Cash,RON,02/07/2022,No,False
246,Stradale,-27,Restaurants,Cash,RON,01/07/2022,No,False
247,Laura,-29.85,Friends & Lover,Cash,RON,01/07/2022,No,False
248,,-121.77,Water Bill,Cash,RON,30/06/2022,No,False
249,,-52.42,Internet Bill,Cash,RON,30/06/2022,No,False
250,Fresh box,-8,Restaurants,Cash,RON,29/06/2022,No,False
251,Bilet CTP,-2.5,Transportation,Cash,RON,29/06/2022,No,False
252,Stradale,-27,Restaurants,Cash,RON,28/06/2022,No,False
253,Colțar,-3959.99,Home Improvement,Cash,RON,28/06/2022,No,False
254,,-50,Home Improvement,Cash,RON,28/06/2022,No,False
